,Customer Name,Ratio Match,Ratio Score,Partial Ratio Match,Partial Score,Token Sort Match,Token Sort Score,Token Set Match,Token Set Score
123,NAZAKAT HAMED,,,,,,,,
124,WHIT WILLIAMS,,,,,,,,
125,WINONA WILLIAMS,,,,,,,,
126,DUR MORGAN,,,GANJ ,86,,,,
127,SARIM BILAL,,,,,,,,
128,JESUS ROMANS RUBIO ZAGA,,,,,,,,
129,ZARAR YASIN,,,,,,,,
130,ENRIKA WILLIAMS,,,,,,,,
131,ALLIANORA EVANS,,,,,,,,
132,JARED HERNANDEZ,,,"GRAJALES HERNANDEZ, AGUSTIN ",87,,,,
133,MAJD AL DIN SAMAAN,,,,,,,,
134,JASIM. LODI,,,,,,,,
135,RICHARD WILLIAMS,,,,,,,,
136,ALLISTIR WATT,,,,,,,,
137,CHRISTOPHER HUNTER,,,,,,,,
138,JAHIZ KABA,,,,,,,,
139,MARI JOHNSON,,,,,,,,
140,SADID MASSOUD,,,,,,,,
141,AMERICAN INSURANCE COMPANY,AFRICADA INSURANCE COMPANY ,88,BIMEH IRAN INSURANCE COMPANY (U.K.) LIMITED; BIUK; ,88,AFRICADA INSURANCE COMPANY ,88,AFRICADA INSURANCE COMPANY ,88
142,TAQIY JALIL,,,,,,,,
143,ABDUSH SHAHID MINHAS,,,,,,,,
144,SHELLEY JONES,,,,,,,,
145,SHAMS-UL-HAQ BURKI,,,,,,,,
146,TEDDY WILLIAMS,,,,,,,,
147,JUSTINIAN MILLS,,,,,,,,
148,CONNOR SMITH,,,,,,,,
149,ABDUL MUSAWWIR SHARIF,,,,,,,,
150,ABDUL BADEE KHALIFA,,,,,,,,
151,AMANDI WILLIAMS,,,,,,,,
152,ZAFAR ABDELNOUR,,,,,,,,
153,ALMAHDI ZAHER,,,,,,,,
154,EVELIN SMITH,,,,,,,,
155,FARA SMITH,,,,,,,,
156,FATIN ASSAF,,,,,,,,
157,ABDUL WADUD OMER,,,,,,,,
158,ABDUS TAHIR,,,"AL-MATAR, 'ABDU TAHIR ",95,,,,
159,ANIS NOOR,,,,,,,,
160,TAKIYAH ZADEH,,,,,,,,
161,KHALID NAIK,,,"WALID, HAFIZ KHALID; WALEED, KHALID; NAIK, KHALID; ",91,,,"WALID, HAFIZ KHALID; WALEED, KHALID; NAIK, KHALID; ",100
162,COMMUNITY BLOOD CTRS EXCHAN RRG,,,,,,,,
163,BLUTH COMPANY,,,SADAF PETROCHEMICAL ASSALUYEH COMPANY; SADAF ASALUYEH CO.; SADAF CHEMICAL ASALUYEH COMPANY; SADAF PETROCHEMICAL ASSALUYEH INVESTMENT SERVICE; ,85,,,,
164,FARRIS EVANS,,,,,,,,
165,DOY MARTINEZ,,,ARTIN ,100,,,,
166,KELLEY DOCHERTY,,,,,,,,
167,CHOTCHKIES,,,,,,,,
168,SHAFIN GREISS,,,,,,,,
169,ABDUL HAMID SABA,,,"IBRAHIM, DAWOOD; EBRAHIM, DAWOOD; HASSAN, DAWOOD; IBRAHIM, DAWOOD SHEIK; KASKAR, DAWOOD IBRAHIM; SABRI, DAWOOD; SAHEB, AMIR; SETH, IQBAL; REHMAN, SHAIKH ISMAIL ABDUL; AZIZ, ABDUL HAMID ABDUL; DILIP, AZIZ; ANIS, IBRAHIM SHAIKH MOHD; HASAN, SHAIKH DAUD; IBRAHIM, ANIS; ",88,,,,
170,STEPHEN ROBERTS,,,,,,,,
171,FARLEIGH BAILEY,,,,,,,,
172,ALAIN EVANS,,,,,,,,
173,JOHN TAYLOR,,,"TAYLOR, MARK JOHN; TAYLOR, MARK;  DANIEL, MOHAMMAD; DANIEL, MUHAMMAD; ABU ABDUL RAHMAN; AL-RAHMAN, MARK JOHN.",91,,,"TAYLOR, MARK JOHN; TAYLOR, MARK;  DANIEL, MOHAMMAD; DANIEL, MUHAMMAD; ABU ABDUL RAHMAN; AL-RAHMAN, MARK JOHN.",100
174,ABDUL-MAJEED HAMDAN,,,HAMD ,100,,,,
175,UPTON THOMAS,,,,,,,,
176,BARIR HAMAD,,,,,,,,
177,JACQUES MORGAN,,,GANJ ,86,,,,
178,JAWDAH RAD,,,,,,,,
179,"ALICARE, INC.",,,,,,,,
180,BISHR RASHED,,,,,,,,
181,CHASERS,,,,,,,,
182,FARASAT ABBASI,,,ABBA ,100,,,,
183,REGAN WATSON,,,,,,,,
184,DAVIE THOMAS,,,,,,,,
185,SAFOORAH MOLLA,,,,,,,,
186,SAMAIRA DAJANI,,,,,,,,
187,SHAHADA SULTANA,,,,,,,,
188,BAHAR AMINI,,,,,,,,
189,ATLANTIC INSURANCE COMPANY,,,MELLAT INSURANCE COMPANY ,88,,,,
190,MEHTAB SAAD,,,,,,,,
191,RUQAYA JABARA,,,,,,,,
192,SHANE HILL,,,,,,,,
193,NASHEED MANSOOR,,,,,,,,
194,LUCIO ADAMS,,,,,,,,
195,AMBROSE SMITH,,,,,,,,
196,KHAZIN OMER,,,,,,,,
197,SAHMIR HOSSAIN,,,,,,,,
198,AXA CORPORATE SOLUTIONS LIFE,,,,,,,,
199,QASID DAR,,,,,,,,
200,MICHAL EVANS,,,,,,,,
201,PIERRE WRIGHT,,,,,,,,
202,NASEER MANSUR,,,,,,,,
203,RUKANAH AYOOB,,,,,,,,
204,FAYSAL SHEIKH,,,"ALLANE, HACENE; ABDELHAY, AL-SHEIKH; AHCENE, CHEIB;  ABU AL-FOUTOUH; BOULAHIA; HASSAN THE OLD.",85,,,,
205,ABDUL FATTAH AMEEN,,,,,,,,
206,FARM FAMILY CASUALTY INS CO,,,,,,,,
207,WHITTAKER DAVIES,,,,,,,,
208,MORTIMER POWELL,,,,,,,,
209,ABDUR-RASHEED SAAD,,,,,,,,
210,IYAD FARAH,,,,,,,,
211,ABDUL SALAM SALAMEH,,,,,,,,
212,JUNAYD SIDDIQUI,,,,,,,,
213,SASHENKA DAVIES,,,,,,,,
214,ABDUL-BAARI NOORI,,,,,,,,
215,ZAMRUD SHAD,,,,,,,,
216,SAD AL DIN ZAMANI,,,,,,,,
217,GISELBERT BROWN,,,,,,,,
218,MY WALKER,,,,,,,,
219,TAHIYAH AMIN,,,,,,,,
220,MUKARRAM SABIR,,,,,,,,
221,SALAR SAAH,,,,,,,,
222,SHAKEELAH HABEEB,,,,,,,,
223,KEV JONES,,,,,,,,
224,ABDUR-RAZZAQ BILAL,,,,,,,,
225,JOAQUIN RODRIGUEZ,,,,,,,"GUZMAN LOERA, JOAQUIN; AREGON, MAX; GUZMAN, CHAPO; GUIERREZ LOERA, JOSE LUIS; GUZMAN FERNANDEZ, JOAQUIN; GUZMAN LOESA, JOAQUIN; GUZMAN PADILLA, JOAQUIN; GUMAN LOERAL, JOAQUIN; GUZMAN, ARCHIBALDO; GUZMAN, AURELIANO; ORTEGA, MIGUEL; RAMIREZ, JOISE LUIS; CARO RODRIGUEZ, GILBERTO; GUZMAN, JOAQUIN CHAPO; GUZMAN LOREA, CHAPO; GUZMAN LOEIA, JOAGUIN; GUZMAN, ACHIVALDO; OSUNA, GILBERTO; RAMOX PEREZ, JORGE; ",100
226,SHIBLI KAZI,,,,,,,,
227,NORTON JONES,,,,,,,,
228,ANCELL BROWN,,,,,,,,
229,JAIME SMITH,,,,,,,,
230,EHAN ALAM,,,,,,,,
231,WELBIE CLARKE,,,,,,,,
232,ELDREDGE ALLEN,,,,,,,,
233,SAFIY-ALLAH RAHIMI,,,,,,,,
234,FAHYIM YUSUF,,,,,,,,
235,ROBERT SMITH,,,,,,,,
236,CHRISTOPHER GARCIA,,,,,,,,
237,DITA DAVIES,,,,,,,,
238,NASIH ABDOU,,,,,,,,
239,MUHDEE ASLAM,,,,,,,,
240,MUHIB WAKIM,,,,,,,,
241,NASIF ABID,,,,,,,,
242,ISMA'IL KHALID,,,,,,,"'ALI, ISMA'IL ",88
243,HASIB MOWAD,,,,,,,,
244,KARDAL QADIR,,,,,,,,
245,DENNY HALL,,,,,,,,
246,PACIFIC NATIONAL INS CO,,,,,,,,
247,FAR WALKER,,,,,,,,
248,ABU BAKR MUHAMMAD,,,"GHUMAYN, ABU BAKR MUHAMMAD MUHAMMAD; MAZOUZI, KHAYR AL-DIN; MAZOUZ, KHEIREDDINE; AL-JAZA'IRI, ABU UBAIDA; AL-JAZAIRI, ABU UBAYDAH; JAMIN, ABU BAKR MUHAMMAD MUHAMMAD; GUEMMANE, ABOUBAKR; GEUMMANE, ABU BAKR; GUEMMANE, ABOUBEKR; GUEMMANE, ABOUBAKIR; GUEMMANE, ABU BAKR MUHAMMAD MUHAMMAD;  LESAGE, CAROL JACQUES GHISLAIN; LESAGE, JACQUES GHISLAIN",100,,,"AL-LIBI, ABD AL-MUHSIN; ABU BAKR, IBRAHIM ALI MUHAMMAD; SABRI, ABDEL ILAH; TANTOUSH, IBRAHIM ALI ABU BAKR; TANTOUCHE, IBRAHIM ABUBAKER; TANTOUSH, IBRAHIM ABUBAKER;  ABU ANAS; ABD AL-MUHSI; ABD AL-RAHMAN.",100
249,SANAULLAH NAZAR,,,,,,,,
250,AYSER SADEK,,,,,,,,
251,GUALTERIO WILLIAMS,,,,,,,,
252,ABDUL QUDDUS JABARA,,,,,,,,
253,BARNETT TAYLOR,,,,,,,,
254,MUTTAQI MINA,,,,,,,,
255,HAMAL ABDALLA,,,"SHALABI, ISMAIL ABDALLAH SBAITAN ",85,,,,
256,NIZZAR SADEK,,,,,,,,
257,KHALID HAMDAN,,,HAMD ,100,,,,
258,THACHER JONES,,,,,,,,
259,INTIKHAB MUHAMMAD,,,,,,,,
260,TAMIM KALEEL,,,,,,,,
261,ABDUL WASI SADIQ,,,,,,,,
262,AALIMAH AYOOB,,,,,,,,
263,AFYA SHAM,,,HAMD ,86,,,,
264,SHABANA OMAR,,,,,,,,
265,NIKOLA HARRISON,,,,,,,,
266,NORRY PATERSON,,,,,,,,
267,"ATTORNEYS'' LIAB ASSUR SOC, A RRG",,,,,,,,
268,JEELAN SULTAN,,,,,,,,
269,STEVE WRIGHT,,,,,,,,
270,SHERLINE RODRIGUEZ,,,,,,,,
271,MULHIM HADI,,,,,,,,
272,ANWAAR IQBAL,,,,,,,,
273,ROSY THOMPSON,,,,,,,,
274,ANTON JOHNSON,,,,,,,,
275,ERIE INSURANCE EXCHANGE,,,,,,,,
276,AZRAQ YOUSIF,,,,,,,,
277,AZRAQ SOLTANI,,,,,,,,
278,MUDABBIR TURAY,,,,,,,,
279,ABDUL-HADI MINA,,,,,,,,
280,ADO EVANS,,,,,,,,
281,COZMO THOMPSON,,,,,,,,
282,SEKTA EPANASTATON,,,SECT OF REVOLUTIONARIES; SEKHTA EPANASTATON; SEKTA EPANASTATON; SECTA EPANASTATON; REVOLUTIONARIES SECT; REBEL SECT; ARMED STRUGGLE FOR REVOLUTIONARY INDEPENDENCE SECT OF REVOLUTIONARIES;  SE.,94,,,SECT OF REVOLUTIONARIES; SEKHTA EPANASTATON; SEKTA EPANASTATON; SECTA EPANASTATON; REVOLUTIONARIES SECT; REBEL SECT; ARMED STRUGGLE FOR REVOLUTIONARY INDEPENDENCE SECT OF REVOLUTIONARIES;  SE.,100
283,WALIY ALLAH MIRZA,,,,,,,,
284,PHILIP JONES,,,,,,,,
285,PANCHO PHILLIPS,,,,,,,,
286,NICO SMITH,,,,,,,,
287,CARLOSS SAEZ DE EGUILAZ MURGUIONDO,,,,,"SAEZ DE EGUILAZ MURGUIONDO, CARLOS ",99,"SAEZ DE EGUILAZ MURGUIONDO, CARLOS ",99
288,TODDY MCMILLAN,,,,,,,,
289,GARV THOMAS,,,,,,,,
290,MAISON SMITH,,,,,,,,
291,TIMOTHEUS TAYLOR,,,,,,,,
292,"INTERNATIONAL FUNDING, LTD.",,,RIXO INTERNATIONAL TRADING LTD. ,86,,,CK INTERNATIONAL LTD ,92
293,NOOR BARAKAT,,,,,,,,
294,ABDUL MUZANNI SALA,,,,,,,,
295,ZUHOOR ZAKI,,,,,,,,
296,MULHIM AZER,,,,,,,,
297,SERGEI JAMES,,,,,,,,
298,SHOAIB MOSTAFA,,,,,,,,
299,CARLOS GREEN,,,,,,,,
300,ZAIDA HASHIM,,,,,,,,
301,NAHID ZIA,,,,,,,,
302,DAVID SMITH,,,,,,,,
303,CONSALVE BUTLER,,,,,,,,
304,BARTY SMITH,,,,,,,,
305,FERREL WILLIAMS,,,,,,,,
306,VICTOIR JONES,,,,,,,,
307,FRASER ALI,,,,,,,,
308,PHILADELPHIA INSURANCE COMPANY,,,MELLAT INSURANCE COMPANY ,88,,,,
309,GARNET HARRISON,,,,,,,,
310,GARALD JONES,,,,,,,,
311,MOAZZAM MAHMUD,,,,,,,,
312,SOAR AIRLINES ,,,POUYA AIR; YAS AIR KISH; YASAIR CARGO AIRLINE; POUYA AIRLINES; ,85,,,,
313,KEVIN JAMES,,,,,,,,
314,HUMAIR SATTAR,,,,,,,,
315,SHAJEE TARIQ,,,,,,,,
316,FAYYAD SALLOUM,,,,,,,,
317,FIROZ HODA,,,,,,,,
318,DILAN BROWN,,,,,,,,
319,RAVENWOOD ,,,,,,,,
320,ABDUL BASEER BILAL,,,,,,,,
321,GHAZANFAR FARAJ,,,,,,,,
322,KAMIL MASSOUD,,,,,,,,
323,RAMIN VAZIRI,,,,,,,,
324,DISTINGUISHED PRO REAL ESTATE RRG,,,,,,,,
325,MELLONEY TAYLOR,,,,,,,,
326,IZAK FISHER,,,,,,,,
327,AMERICAN GENERAL INDEMNITY CO,,,,,,,,
328,COBBIE HALL,,,,,,,,
329,LONNARD WILLIAMS,,,,,,,,
330,SAIRAH AMAN,,,,,,,,
331,ASHAR BEYDOUN,,,,,,,,
332,VAIL SMITH,,,,,,,,
333,RAYMOND ROBERTS,,,,,,,,
334,MARK WILLIAMS,,,"SAAB HALABI, TAREK WILLIAM ",88,,,,
335,CHICAGO TITLE INSURANCE CO,,,,,,,,
336,GULSHAN AZAD,,,,,,,,
337,HAAZIQ KARIMI,,,,,,,,
338,SAD SROUR,,,OURA ,86,,,,
339,SELBY SMITH,,,,,,,,
340,SOMBRA CORPORATION,,,TIFON ,89,,,,
341,"BEAZLEY INSURANCE COMPANY, INC.",,,,,,,,
342,EBENESER JONES,,,,,,,,
343,PAULETTE BURKE,,,,,,,,
344,ABDUL BARI LAHAM,,,HAMD ,86,,,,
345,ZAMIL CHAHINE,,,,,,,,
346,LANCELOT GARCIA,,,,,,,,
347,SUMAYYA BADOUR,,,,,,,,
348,MOHID SALAHUDDIN,,,,,,,,
349,TAJUDINN RAD,,,,,,,,
350,MAHAZ MAHFOUZ,,,,,,,,
351,WAHHAJ SAMAD,,,,,,,,
352,ABDUL RAHIM AKHTER,,,,,,,,
353,JABBAR SULAIMAN,,,ABBA ,100,,,,
354,REINSUREX INTERMEDIARY INC,,,,,,,,
355,GALVAN WILSON,,,ALVAN ,100,,,,
356,ANABEL JONES,,,,,,,,
357,WAFI MANSOOR,,,,,,,,
358,JARRID DAVIES,,,,,,,,
359,BASHEERA ISLAM,,,,,,,,
360,ARCHY DAVIES,,,,,,,,
361,ABDUL AALEE JAFFER,,,,,,,,
362,HARDY RODRIGUEZ,,,"PARADA RODRIGUEZ, ALEX OSWALDO  LA PANTERA",87,,,,
363,SHURAFA RASHEED,,,,,,,,
364,JAHAN AARA AHMED,,,,,,,,
365,HOMESITE INSURANCE COMPANY,,,MELLAT INSURANCE COMPANY ,88,,,,
366,KALTHAM NASRALLAH,,,,,,,,
367,ABDUL QAYYUM MINHAS,,,,,,,,
368,LUBAID SESAY,,,,,,,,
369,"VERIDIGN HEALTH SOLUTIONS, LLC",,,,,,,,
370,TIMOTHY MORRIS,,,,,,,,
371,RAYMOND EVANS,,,,,,,,
372,UQBAH JAMA,,,,,,,,
373,MERSIHA REHMANN,,,,,,,,
374,YUSUF RAHIMI,,,,,,,,
375,THEBAULT SMITH,,,,,,,,
376,ZAMIL AZIZ,,,,,,,,
377,FAKHR HABIBI,,,,,,,,
378,FIDDAH NOOR,,,,,,,,
379,KIRSTENI WILLIAMS,,,,,,,,
380,MUNEER ABDO,,,,,,,,
381,SELIG BAKER,,,,,,,,
382,KHATEEB SHAER,,,,,,,,
383,ABDUL MUZANNI BILAL,,,,,,,,
384,BEN SMITH,,,,,,,,
385,CATLIN UNDERWRITING INC.,,,,,,,,
386,KHALIS TABATABAI,,,,,,,,
387,THAUBAN RAHMANI,,,,,,,,
388,FADL HUSSEIN,,,"SERHAN, FADI HUSSEIN; SARHAN, FADI HUSAYN; SIRHAN, FADI; ",92,,,,
389,RAMI BADDOUR,,,OURA ,86,,,,
390,NAFI EMAMI,,,,,,,,
391,HUMRA ALLEE,,,,,,,,
392,KADEER AYDIN,,,,,,,,
393,HANASH KHALAF,,,"AL-DULAYMI, HASAN HASHIM KHALAF  ABU WISSAM.",85,,,,
394,REAMONN SINGH,,,,,,,,
395,SIGISMUND TAYLOR,,,SIG ,100,,,,
396,TABALAH ABOUD,,,,,,,,
397,BROSE JONES,,,,,,,,
398,BUSHR BASHIR,,,,,,,,
399,BASTIEN ROBINSON,,,,,,,,
400,FORREST T. JONES CONSULTING COMPANY,,,,,,,,
401,LETISHA EVANS,,,,,,,,
402,OWAIS KASSEM,,,,,,,,
403,DEREK JOHNSON,,,,,,,,
404,MUNQAD BADIE,,,,,,,,
405,BROK PATERSON,,,,,,,,
406,KAASHIF GHATTAS,,,,,,,,
407,ZUFAR SAWAYA,,,,,,,,
408,HAIKAL WAHEED,,,,,,,,
409,SUSANN WARD,,,,,,,,
410,EDWARD GREEN,,,,,,,,
411,WAQAAR MIAH,,,,,,,,
412,AMARGO JONES,,,,,,,,
413,SADAH HAFEEZ,,,,,,,,
414,GREAT AMERICAN INS CO OF NY,,,,,,,,
415,ALEXI SMITH,,,,,,,,
416,PAOLINA HUGHES,,,,,,,,
417,DUHA AMEN,,,MENA ,86,,,,
418,EFREM JONES,,,,,,,,
419,JAMES GARCIA,,,,,,,,
420,AHZAB MUSA,,,,,,,,
421,GERT RODRIGUEZ,,,"CORREDOR IBAGUE, JOSE MARIA  BOYACO; CHEPE; JOSE GILBERTO RODRIGUEZ PEREZ; JOSE LEONEL; HECTOR JAIME SANCHEZ; ANGEL ORTIZ; CARLOS ALBERTO HENAO; JOSE ADRIAN RODRIGUEZ BUITRAGO.",93,,,,
422,AKIF SADRI,,,,,,,,
423,NIMR SALA,,,,,,,,
424,NFRPC,,,,,,,,
425,MASUN AKHTAR,,,,,,,,
426,JAWDAN RADI,,,,,,,,
427,KISHWAR AMIR,,,,,,,,
428,SAEED ABRAHAM,,,,,,,,
429,ALFRED JONES,,,,,,,,
430,BRYN HOPKINS,,,,,,,,
431,DANETTE SMITH,,,,,,,,
432,ZED JONES,,,,,,,,
433,AQEIL MAJEED,,,,,,,,
434,MUQTASID LAHAM,,,,,,,,
435,PERCIVAL BELL,,,,,,,,
436,DORE RICHARDSON,,,,,,,,
437,SAFEENAH KHAWAJA,,,,,,,,
438,ZOHAIR YUSUF,,,,,,,,
439,PATRICIA SMITH,,,,,,,,
440,BEALE ROBERTS,,,,,,,,
441,DEEMA SAAD,,,,,,,,
442,MASROOR ALLI,,,,,,,,
443,ABE PRICE,,,,,,,,
444,QISMAH FARAJ,,,,,,,,
445,SECURITY LIFE OF DENVER INS CO,,,,,,,,
446,YUNUS MONA,,,,,,,,
447,NOELLE ROBINSON,,,,,,,,
448,HODGE SMITH,,,,,,,,
449,RAIS NOUR,,,OURA ,86,,,,
450,KALE DAVIES,,,,,,,,
451,NIKOLAS JONES,,,,,,,,
452,SHAHZAIB MASIH,,,,,,,,
453,WOODMEN OF THE WORLD LIFE,,,,,,,,
454,ABDUL-HAQQ BARAKAT,,,,,,,,
455,BARRAQ HABEEB,,,,,,,,
456,TARIQ AZIZ,,,"AZIZ, TARIQ; AZIZ, TARIQ MIKHAIL; ",90,,,"AZIZ, TARIQ; AZIZ, TARIQ MIKHAIL; ",100
457,MUNA BADDOUR,,,,,,,,
